T,E_rt,Var_rt,std_rt,z_score,P_term_ana
1.0,0.038301714152804624,6.321205588285577e-05,0.007950600976206501,-4.817461506045755,7.269806473955825e-07
2.0,0.03896993756471996,8.646647167633873e-05,0.009298734950321937,-4.190885940175202,1.3893366424253943e-05
5.0,0.03977016200385308,9.932620530009145e-05,0.009966253323094464,-3.990482753603606,3.2969472024849494e-05
10.0,0.039981133748402564,9.999546000702376e-05,0.009999772997774688,-3.9982041349638453,3.191244803728029e-05
