k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
21,1.75,B,0.0032527594671800117,5.029337556726778e-05,0.0032375935093310786,7.504427640093348e-06,1.5165957848933126e-05,0.15165957848933126,0.3015498100470218
22,1.8333333333333333,B,0.003326361885295546,4.967395530094993e-05,0.003241122849458056,7.5710244580680595e-06,8.523903583749007e-05,0.8523903583749006,1.7159703776570419
23,1.9166666666666665,B,0.003254740359858529,4.955634784931813e-05,0.0032410803008549854,7.644605916281823e-06,1.3660059003543779e-05,0.13660059003543779,0.2756470078279131
24,2.0,B,0.0033234803730280106,4.917161187224241e-05,0.0032445267157841053,7.698827664771178e-06,7.895365724390523e-05,0.7895365724390523,1.6056755969082828
25,2.083333333333333,B,0.0032073980645752117,4.912707730858966e-05,0.003244609669975706,7.731175237555511e-06,-3.721160540049416e-05,-0.37211605400494163,-0.7574561207203725
26,2.1666666666666665,B,0.003298212056550045,4.876569463710034e-05,0.0032504160247892122,7.786187428054769e-06,4.77960317608328e-05,0.477960317608328,0.9801158809797855
27,2.25,B,0.003214836183459091,4.9158644437101284e-05,0.003251766036141107,7.803948703699722e-06,-3.6929852682016356e-05,-0.36929852682016356,-0.7512382227965678
28,2.333333333333333,B,0.00321215153802806,4.933449663268065e-05,0.003257284992097713,7.839657847263909e-06,-4.5133454069653123e-05,-0.45133454069653123,-0.914845739801374
29,2.4166666666666665,B,0.003235242608502098,4.838851788224264e-05,0.0032630151083062426,7.921481221084617e-06,-2.7772499804144812e-05,-0.2777249980414481,-0.5739481393443674
30,2.5,B,0.0032983905399152865,4.83193377816153e-05,0.003267618809936995,7.955878828603868e-06,3.077172997829154e-05,0.3077172997829154,0.6368408879560362
31,2.583333333333333,B,0.0031771313442380466,4.838319947292025e-05,0.003269096326201989,8.005540434666591e-06,-9.196498196394239e-05,-0.9196498196394238,-1.9007627227177186
32,2.6666666666666665,B,0.003243200322118378,4.8079304729874e-05,0.0032767214108236718,8.053131634968244e-06,-3.3521088705293876e-05,-0.3352108870529388,-0.6972041067071754
33,2.75,B,0.0032614426408399096,4.756869539358822e-05,0.003281081068582256,8.101588744213464e-06,-1.9638427742346524e-05,-0.19638427742346526,-0.4128435219813404
34,2.833333333333333,B,0.0032879254007965072,4.725088538219416e-05,0.0032845580392133495,8.159038234721884e-06,3.3673615831577262e-06,0.03367361583157726,0.07126557642085306
35,2.9166666666666665,B,0.003315036861000525,4.7912737127947655e-05,0.0032867131325672078,8.203982840440895e-06,2.8323728433317374e-05,0.28323728433317374,0.5911523768237413
36,3.0,B,0.0033333324290116457,4.685756958866567e-05,0.00328750485798476,8.219531940324566e-06,4.582757102688552e-05,0.45827571026885516,0.9780185235636016
37,3.083333333333333,B,0.0032919836123645537,4.711739808083114e-05,0.0032873443223094293,8.261806982753364e-06,4.639290055124309e-06,0.04639290055124309,0.09846235666845364
38,3.1666666666666665,B,0.003264504700207926,4.691591270248767e-05,0.0032893231909617493,8.281304428198546e-06,-2.481849075382323e-05,-0.2481849075382323,-0.5289994230999423
39,3.25,B,0.003238104122628828,4.685411831888591e-05,0.0032927561242369983,8.288210670313559e-06,-5.465200160817028e-05,-0.5465200160817028,-1.1664289835999584
40,3.333333333333333,B,0.003344486437510412,4.632819831363934e-05,0.003297621459357556,8.297468665126507e-06,4.686497815285578e-05,0.4686497815285578,1.0115864604874654
41,3.4166666666666665,B,0.0032590914947231084,4.631187983388874e-05,0.0032969463939797865,8.310862891139049e-06,-3.785489925667816e-05,-0.37854899256678165,-0.8173906866328027
