t,mean_em,mean_exact,mean_analytic,var_em,var_exact,var_analytic,mean_err_em_bp,mean_err_exact_bp,var_err_em_rel,var_err_exact_rel
0.0,0.037199999999999095,0.037199999999999095,0.0372,8.137867801816254e-31,8.137867801816254e-31,0.0,-9.020562075079397e-12,-9.020562075079397e-12,,
0.08333333333333333,0.037287077825019506,0.037285286543225736,0.03731426952009441,8.439269326600915e-06,8.097200629310038e-06,7.995558537067671e-06,-0.2719169507490321,-0.2898297686867307,0.05549465837516987,0.012712319192105262
0.16666666666666666,0.0374588666776163,0.037453622920791234,0.037423875639037894,1.5931894833551177e-05,1.529924798731575e-05,1.5351827510938586e-05,0.34991038578402467,0.29747281753339516,0.03778490360182052,-0.0034249683684480256
0.25,0.03760637456627072,0.037598316918926906,0.03752900867276313,2.2714316607942435e-05,2.1830452919468256e-05,2.2119921692859512e-05,0.7736589350759021,0.6930824616377396,0.02687147465240794,-0.013086338071653249
0.3333333333333333,0.0376862873843337,0.037676915203327985,0.037629851170306275,2.9282653271421918e-05,2.816534852110697e-05,2.8346868942621073e-05,0.5643621402742771,0.47064033021709806,0.03301191149876315,-0.006403543963939465
0.41666666666666663,0.03772406868780366,0.0377142985459678,0.03772657823077822,3.509331947926396e-05,3.378104160682326e-05,3.407593697995563e-05,-0.025095429745589093,-0.12279684810420632,0.029856332341111604,-0.008654064987437711
0.5,0.037805620747369324,0.03779457274181817,0.03781935780740006,4.0130870285938506e-05,3.865978407777917e-05,3.934693402873666e-05,-0.13737060030737103,-0.24785065581893473,0.019923693587645442,-0.017463875341739103
0.5833333333333333,0.037913730533170834,0.037900913255669993,0.037908350999130785,4.4705698135597455e-05,4.3098903808465555e-05,4.419648542299529e-05,0.05379534040048095,-0.07437743460791957,0.01152156574733475,-0.02483413791899999
0.6666666666666666,0.03795761849503598,0.03794441948367399,0.037993712330393385,4.893574344031501e-05,4.721064399668866e-05,4.86582880967408e-05,-0.3609383535740224,-0.4929284671939538,0.0057021188871787575,-0.029751233688574904
0.75,0.03803828228562646,0.03802396422231058,0.03807559001938528,5.3348532181292874e-05,5.150000295805566e-05,5.276334472589853e-05,-0.37307733758817907,-0.516257970746975,0.011090795294239689,-0.023943549720091366
0.8333333333333333,0.03804955886143981,0.0380355884345901,0.038154126235438755,5.725958073966654e-05,5.5310989617765404e-05,5.654017914929217e-05,-1.0456737399894278,-1.1853780084865317,0.012723723221230289,-0.02174010677046391
0.9166666666666666,0.03811459852193615,0.03809986071804071,0.0382294573458785,6.125108810374282e-05,5.920201061527045e-05,6.001503456551527e-05,-1.1485882394235425,-1.2959662783779136,0.02059573150588147,-0.013547004615273323
1.0,0.0382010032184505,0.03818509207345936,0.038301714152804624,6.489846931053895e-05,6.276538147212315e-05,6.321205588285577e-05,-1.007109343541257,-1.1662207934526325,0.02667866760746436,-0.007066285133335944
1.0833333333333333,0.0382714787269063,0.03825476854859376,0.03837102212021253,6.821872340065443e-05,6.601587788760649e-05,6.615345748932578e-05,-0.9954339330623535,-1.1625357161876986,0.031219319287459746,-0.0020797038724919554
1.1666666666666665,0.03836256999084521,0.03834467146547789,0.038437501591843865,7.155820256680042e-05,6.928284247845816e-05,6.885967760854023e-05,-0.7493160099865392,-0.9283012636597532,0.039188753882947465,0.006145321683374437
1.25,0.03840186794119073,0.03838389036104536,0.038501268000146825,7.388411935239152e-05,7.157529006579969e-05,7.134952031398098e-05,-0.9940005895609644,-1.1737763910146803,0.03552370117215603,0.0031642784818339043
1.3333333333333333,0.03848192470092576,0.03846303682585829,0.03856243206670874,7.640499046419244e-05,7.405522716970401e-05,7.364028618842733e-05,-0.8050736578298079,-0.9939524085045282,0.03754336680184693,0.005634700824151395
1.4166666666666665,0.038577739848903655,0.038557656394163135,0.03862109999450885,7.777901519764592e-05,7.542922604698012e-05,7.574789253643513e-05,-0.433601456051938,-0.6344360034571395,0.026814246485257737,-0.004206935385056791
1.5,0.03871138342098822,0.038689378882184704,0.03867737365232516,7.956791804637727e-05,7.720063561085563e-05,7.768698398515703e-05,0.34009768663058326,0.12005229859543554,0.02421170142967088,-0.006260358548535177
1.5833333333333333,0.038757022789965824,0.038734977947033164,0.038731350751615524,8.093946918970161e-05,7.857053863369474e-05,7.947103424200907e-05,0.2567203835029952,0.03627195417639506,0.01847761214760065,-0.011331117266853546
1.6666666666666665,0.0387976185543927,0.03877563846036001,0.03878312501618018,8.276579271626699e-05,8.037872313645382e-05,8.111243971624381e-05,0.1449353821252053,-0.07486555820168661,0.02038347022734263,-0.00904567267803507
1.75,0.038834739191578274,0.03881289248097982,0.03883278634490018,8.417462482732563e-05,8.178264987961815e-05,8.262260565495549e-05,0.019528466780951992,-0.19893863920358856,0.018784437504326696,-0.010166173877947228
1.8333333333333333,0.03891366817174183,0.03889109343790763,0.03888042096783443,8.49989923602043e-05,8.261843795362579e-05,8.401202539203061e-05,0.3324720390739805,0.10672470073198881,0.011747924937747166,-0.016587951925951534
1.9166666666666665,0.038951980300948506,0.038929539163557375,0.038926111595946326,8.628571354233247e-05,8.389929278967601e-05,8.529035326070231e-05,0.2586870500217997,0.03427567611048732,0.011670256290153893,-0.01630970464824224
2.0,0.03902231338745218,0.03899934484237759,0.03896993756471996,8.740349945446543e-05,8.50206956445982e-05,8.646647167633873e-05,0.5237582273221603,0.29407277657628184,0.010836891571500522,-0.016720654881725278
2.083333333333333,0.039079381872297876,0.039056179258576955,0.03901197497191522,8.865565246080919e-05,8.626592026880925e-05,8.754855285558771e-05,0.6740690038265634,0.4420428666173509,0.012645550030366028,-0.01465052870598756
2.1666666666666665,0.03909043477230428,0.0390679500316717,0.03905229680970112,9.021458928507687e-05,8.780616587818e-05,8.854411560073124e-05,0.3813796260316443,0.15653221970578224,0.01886600451099693,-0.008334260470552926
2.25,0.0391271236875114,0.03910480262958905,0.03909097309139662,9.137652869938835e-05,8.897039529113913e-05,8.946007754381357e-05,0.3615059611478122,0.13829538192428048,0.021422417777764383,-0.005473751712708018
2.333333333333333,0.03921792669867866,0.03919465470487345,0.03912807097303913,9.290080292527729e-05,9.047081807191557e-05,9.03028032135595e-05,0.8985572563952743,0.6658373183431737,0.028769867814332526,0.001860571902277807
2.4166666666666665,0.039240322929014214,0.03921753978128104,0.0391636548699917,9.439851738828784e-05,9.195521842584539e-05,9.107814825907399e-05,0.7666805902251106,0.538849112893397,0.03645626522586934,0.009629863842604173
2.5,0.039250272399160416,0.039228213074938977,0.03919778656879147,9.455765815563784e-05,9.214774374616737e-05,9.179150013761012e-05,0.5248583036894516,0.30426506147505916,0.03013523053747686,0.003881008677526548
2.583333333333333,0.03927874121632816,0.039256997000919745,0.03923052533443343,9.56035242807183e-05,9.319016456959987e-05,9.244781554912262e-05,0.4821588189473508,0.2647166648631766,0.03413502755961684,0.008029924948121638
