target,level,VaR_em,VaR_exact,abs_diff_bp,rel_diff_pct
1m rate level loss (-Delta r),0.95,0.004716024961136901,0.00461946731664332,0.9655764449358148,2.0902333077603403
1m rate level loss (-Delta r),0.99,0.006735936003948045,0.006598018411291614,1.3791759265643042,2.090288084380049
1yr Bond B MtM loss,0.95,-1.4476162500808976,-1.4893969919679415,4.098375736531554,0.04098375736531554
1yr Bond B MtM loss,0.99,-0.4142872696939092,-0.4782179455812719,6.271117243087514,0.06271117243087514
