n_paths,P_closed_form,P_mc,mc_std_error,abs_error
500,0.8233323308806805,0.8206616345479381,0.0011715841067348905,-0.002670696332742417
1000,0.8233323308806805,0.8230364886035411,0.0008182687666023602,-0.00029584227713941313
2000,0.8233323308806805,0.8236381705843748,0.0005734239516238937,0.000305839703694355
5000,0.8233323308806805,0.8230774714710618,0.0003582531545597708,-0.0002548594096186685
10000,0.8233323308806805,0.8234124615435201,0.0002493743752929801,8.013066283962811e-05
20000,0.8233323308806805,0.8232632365108052,0.00017558768295315106,-6.909436987523332e-05
50000,0.8233323308806805,0.8232329376964987,0.00011184756402929906,-9.93931841817286e-05
