bond,horizon_yr,V0_em,V0_exact,E_V_em,E_V_exact,MC_SE_em,MC_SE_exact,ann_return_em_cc,ann_return_exact_cc,rel_diff_E_V_pct,ann_return_diff_bp
A,1.0,99.66549549390345,99.66549549390345,103.50882807888382,103.50998977226531,0.006224142386967882,0.0061210386474589325,0.037837370759882125,0.037848593830263566,-0.0011223007402923178,-0.11223070381441436
A,2.0,99.66549549390345,99.66549549390345,107.57776350884899,107.57764721141073,0.00042916549412612534,0.00042319307879913013,0.038197216887432786,0.03819667635983064,0.00010810557887110392,0.005405276021427929
A,5.0,99.66549549390345,99.66549549390345,121.12955396384743,121.12245762639185,0.028990378685586085,0.028751770941720354,0.03900822659453488,0.038996509313161586,0.005858812308339883,0.11717281373294086
A,10.0,99.66549549390345,99.66549549390345,148.04515690149717,148.03077888863845,0.07292060618063928,0.07263384365351806,0.03956978076693043,0.039560068384982446,0.009712853615078428,0.09712381947982185
B,1.0,101.94463507731699,101.94463507731699,105.8836685394932,105.88626669328934,0.015104259980484933,0.01485433901280353,0.03791115228707303,0.037935689800326945,-0.0024537212211557468,-0.2453751325391662
B,2.0,101.94463507731699,101.94463507731699,110.01332186518863,110.0170557030911,0.017055435018880766,0.016821016295356917,0.03808579688290617,0.038102766530207104,-0.0033938718670583922,-0.169696473009337
B,5.0,101.94463507731699,101.94463507731699,123.82294236977263,123.82333646876027,0.015424689041829951,0.015232707650704922,0.03888455770666644,0.03888519425810503,-0.0003182752127993488,-0.006365514385875404
B,10.0,101.94463507731699,101.94463507731699,151.1153833398566,151.11269955369966,0.01617266194168032,0.01611033735017436,0.039361380053723256,0.03935960405320648,0.0017760162877619057,0.017760005167760662
