T_yr,P_analytic,P_em,P_exact,MC_SE_em,MC_SE_exact,diff_em_vs_exact_bp_of_price,rel_diff_em_vs_exact_pct,rel_diff_em_vs_analytic_pct,rel_diff_exact_vs_analytic_pct
1.0,0.9629200205178066,0.9629764362111942,0.962985260621685,4.413858522056176e-05,4.3368535697377776e-05,-0.08824410490770873,-0.0009163598708742439,0.005858814043280524,0.006775235999698626
2.0,0.9264521427696382,0.9265590820046368,0.9265847461393669,0.00010533622120820977,0.00010381280874543212,-0.25664134730152277,-0.0027697557980619026,0.011542877398816124,0.01431302963284616
5.0,0.8233323308806805,0.8234636896448059,0.8235249922726613,0.0002516275085055838,0.00024948974654923046,-0.6130262785541962,-0.007443930473347784,0.015954525189711855,0.023400197557496446
10.0,0.6750069099320853,0.675021603486529,0.6750920976640443,0.00036047288065170485,0.00035899683070720077,-0.704941775153678,-0.01044215711593899,0.002176800596765827,0.012620275541705346
