k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
19,1.5833333333333333,A,0.0032299883654161284,1.1276094593896904e-05,0.003227341583204332,7.378143421002839e-06,2.6467822117964487e-06,0.026467822117964487,0.23472508054597185
20,1.6666666666666665,A,0.0032392203728791023,9.83661436148405e-06,0.0032330464208827543,7.453786384373201e-06,6.173951996348015e-06,0.06173951996348015,0.627650100884564
21,1.75,A,0.0032456210618961876,8.624842085157183e-06,0.0032375935093310786,7.504427640093348e-06,8.02755256510898e-06,0.08027552565108981,0.9307477732170771
22,1.8333333333333333,A,0.0032519676246101446,7.774903043367698e-06,0.003241122849458056,7.5710244580680595e-06,1.0844775152088655e-05,0.10844775152088655,1.3948437802500548
23,1.9166666666666665,A,0.003248416392409276,7.520349265137492e-06,0.0032410803008549854,7.644605916281823e-06,7.3360915542907724e-06,0.07336091554290772,0.9754987827891327
24,2.0,A,0.003250093184359261,7.723909024572994e-06,0.0032445267157841053,7.698827664771178e-06,5.566468575155491e-06,0.05566468575155491,0.7206802355447507
25,2.083333333333333,A,0.00325017891213302,7.756381296375226e-06,0.003244609669975706,7.731175237555511e-06,5.5692421573141394e-06,0.055692421573141394,0.7180206780082874
26,2.1666666666666665,A,0.003256008438052769,7.811648480687084e-06,0.0032504160247892122,7.786187428054769e-06,5.592413263556632e-06,0.05592413263556632,0.7159069276328656
27,2.25,A,0.0032573642340998623,7.829449387122542e-06,0.003251766036141107,7.803948703699722e-06,5.598197958755179e-06,0.055981979587551786,0.715018091561176
28,2.333333333333333,A,0.003262903984834619,7.865330032102345e-06,0.003257284992097713,7.839657847263909e-06,5.618992736905904e-06,0.05618992736905904,0.7144001223053559
29,2.4166666666666665,A,0.0032686592817185714,7.947419913318923e-06,0.0032630151083062426,7.921481221084617e-06,5.644173412328729e-06,0.05644173412328729,0.7101894040945
30,2.5,A,0.0032732807820333725,7.981994496469676e-06,0.003267618809936995,7.955878828603868e-06,5.661972096377473e-06,0.05661972096377473,0.7093430218326615
31,2.583333333333333,A,0.003274767112586892,8.031865275822853e-06,0.003269096326201989,8.005540434666591e-06,5.670786384903096e-06,0.05670786384903096,0.7060360439527084
32,2.6666666666666665,A,0.003282421030452295,8.079683961582996e-06,0.0032767214108236718,8.053131634968244e-06,5.699619628623219e-06,0.05699619628623219,0.7054260606879643
33,2.75,A,0.003286798933461603,8.128296250306038e-06,0.003281081068582256,8.101588744213464e-06,5.717864879347095e-06,0.05717864879347095,0.7034518308965193
34,2.833333333333333,A,0.0032902920236353877,8.185949758022922e-06,0.0032845580392133495,8.159038234721884e-06,5.733984422038197e-06,0.05733984422038197,0.7004666033307141
35,2.9166666666666665,A,0.00329245789752303,8.231002304910133e-06,0.0032867131325672078,8.203982840440895e-06,5.744764955822011e-06,0.05744764955822011,0.6979423335108316
36,3.0,A,0.0032932535112742073,8.246622500692038e-06,0.00328750485798476,8.219531940324566e-06,5.748653289447143e-06,0.05748653289447143,0.6970918444447686
37,3.083333333333333,A,0.0032930959414722125,8.289023649135848e-06,0.0032873443223094293,8.261806982753364e-06,5.75161916278313e-06,0.0575161916278313,0.6938837921379016
38,3.1666666666666665,A,0.0032950829465908725,8.308601871014732e-06,0.0032893231909617493,8.281304428198546e-06,5.759755629123221e-06,0.057597556291232206,0.6932280206151917
39,3.25,A,0.003298527772423621,8.315590215542685e-06,0.0032927561242369983,8.288210670313559e-06,5.771648186622767e-06,0.057716481866227666,0.6940755901890124
40,3.333333333333333,A,0.0033034099370740605,8.324883132899958e-06,0.003297621459357556,8.297468665126507e-06,5.788477716504436e-06,0.05788477716504436,0.6953223996176424
41,3.4166666666666665,A,0.003302733758317833,8.338336527103656e-06,0.0032969463939797865,8.310862891139049e-06,5.787364338046431e-06,0.05787364338046431,0.6940670143540834
42,3.5,A,0.003306568961085801,8.326193092496571e-06,0.003300769968832937,8.29878834999398e-06,5.798992252864076e-06,0.05798992252864076,0.6964758309640973
43,3.583333333333333,A,0.0033062411714801145,8.343176843622238e-06,0.00330044185018347,8.315772242348013e-06,5.79932129664458e-06,0.0579932129664458,0.6950974916800123
44,3.6666666666666665,A,0.0033070277942400237,8.332835004204536e-06,0.003301226738419516,8.305441949141474e-06,5.801055820507661e-06,0.05801055820507661,0.6961683289757443
45,3.75,A,0.0033051624131301693,8.360233066209134e-06,0.0032993652354892035,8.332689777458864e-06,5.797177640965833e-06,0.05797177640965833,0.6934229697970019
46,3.833333333333333,A,0.0033075399631473054,8.345488124518862e-06,0.003301736170433123,8.318063942089686e-06,5.803792714182462e-06,0.05803792714182462,0.6954407732162539
47,3.9166666666666665,A,0.003307925497572549,8.388817422745557e-06,0.003302116828291351,8.36132913226112e-06,5.808669281197679e-06,0.05808669281197679,0.6924300516361188
48,4.0,A,0.0033109980355149034,8.343562884025946e-06,0.003305182996720027,8.316154254239964e-06,5.815038794876326e-06,0.05815038794876326,0.6969491182249526
49,4.083333333333333,A,0.003310657421326685,8.319860291887203e-06,0.0033048454658488003,8.292570400696155e-06,5.811955477884843e-06,0.058119554778848434,0.6985640712683784
50,4.166666666666666,A,0.0033080834211648103,8.327802592884573e-06,0.0033022793006335393,8.300450282067173e-06,5.8041205312710405e-06,0.058041205312710405,0.696957026362535
51,4.25,A,0.0033078381962438888,8.302759406319729e-06,0.003302036957301007,8.275406051992114e-06,5.8012389428816966e-06,0.058012389428816966,0.6987121580887946
52,4.333333333333333,A,0.003308120541106692,8.331672386409443e-06,0.0033023159829565444,8.304217774003751e-06,5.804558150147507e-06,0.05804558150147507,0.6966858370014472
53,4.416666666666666,A,0.0033072914362934766,8.363845339769727e-06,0.0033014869424105872,8.336305514137581e-06,5.804493882889325e-06,0.05804493882889325,0.6939982325222114
54,4.5,A,0.003307516645599877,8.351644503120432e-06,0.0033017124204684657,8.3241773746482e-06,5.804225131411222e-06,0.05804225131411222,0.6949799083572803
55,4.583333333333333,A,0.003307335303677445,8.345405245062886e-06,0.0033015321962501605,8.317912887882912e-06,5.803107427284487e-06,0.058031074272844874,0.6953655642687437
56,4.666666666666666,A,0.003307191077080067,8.366148624464313e-06,0.0033013867215179286,8.338620839309716e-06,5.804355562138205e-06,0.05804355562138205,0.6937906344581417
57,4.75,A,0.0033076755431264856,8.378935887707874e-06,0.0033018685307544685,8.35130119935155e-06,5.807012372017074e-06,0.05807012372017074,0.6930489085775341
58,4.833333333333333,A,0.003307196448019299,8.389694111414837e-06,0.0033013901183372866,8.362034285572959e-06,5.806329682012286e-06,0.05806329682012286,0.6920788296813252
59,4.916666666666666,A,0.0033052444220274795,8.367458576316453e-06,0.003299446375737234,8.339859277103297e-06,5.798046290245509e-06,0.05798046290245509,0.6929279944876575
60,5.0,A,0.003304994178832679,8.380608273093716e-06,0.003299195865554371,8.352920482322963e-06,5.798313278308244e-06,0.05798313278308244,0.6918726051095795
