T_yr,label,P,z_pct,f_at_knot_pct
0.08333333333333333,1M,0.9968930167644175,3.734183914732659,3.734183914732659
0.25,3M,0.9907856930545922,3.7028085050707475,3.6400576857469247
0.5,6M,0.9817878356487163,3.6760094562859056,3.6583631292552035
1.0,1Y,0.9649715333397665,3.565667720803468,3.252288841386856
2.0,2Y,0.9296466713209661,3.6475344167385195,4.206513383960287
3.0,3Y,0.8963572536739604,3.6472074952296665,3.086593920463634
5.0,5Y,0.8285588794194672,3.7613475429172727,4.77852130843373
7.0,7Y,0.7575815642866413,3.966058168132684,4.1771481539086945
10.0,10Y,0.6563174600434178,4.2111067410283995,5.388625334994778
20.0,20Y,0.3696483372973285,4.976015825175282,6.093224483649554
30.0,30Y,0.22487787627939615,4.973992654077945,3.846668140116983
