t_yr,mean_hw_pct,mean_vas_pct,sd_hw_pct,sd_vas_pct,forward_pct,p_neg_hw_pct,p_neg_vas_pct
0.0,3.7199999999999096,3.7199999999999096,9.02101313701308e-14,9.02101313701308e-14,3.734183914732659,0.0,0.0
0.08333333333333333,3.723026314721119,3.7341019849405943,0.2885803834354001,0.28858038343540005,3.734183914732659,0.0,0.0
0.16666666666666666,3.678502220528699,3.747188559546879,0.40216273815707043,0.4021627381570707,3.687120800239792,0.0,0.0
0.25,3.630855454520679,3.7566516786667314,0.4765247685909184,0.4765247685909184,3.6400576857469247,0.0,0.0
0.3333333333333333,3.6404695838124495,3.7697357478627667,0.5473053427992699,0.5473053427992697,3.6461595002496843,0.0,0.0
0.41666666666666663,3.6453710365908276,3.7776564262180132,0.5944964146365498,0.5944964146365499,3.652261314752444,0.0,0.0
0.5,3.6485794530746074,3.783456282708382,0.6364265904702912,0.6364265904702912,3.6583631292552035,0.0,0.0
0.5833333333333333,3.5841741666197304,3.7950171548276144,0.6759304379883189,0.6759304379883184,3.5906840812771454,0.0,0.0
0.6666666666666666,3.51678779806617,3.803211235645075,0.7029491229271282,0.7029491229271273,3.523005033299088,0.0,0.0
0.75,3.4498908554654486,3.81152833566836,0.7282279035891647,0.7282279035891648,3.45532598532103,0.0,0.0
0.8333333333333333,3.38493187560178,3.821435231513189,0.7521115267113778,0.7521115267113777,3.387646937342972,0.0,0.0
0.9166666666666666,3.316971209790377,3.828009516634665,0.7784103230024614,0.7784103230024619,3.319967889364914,0.0,0.0
1.0,3.2476966549315653,3.832955292957151,0.800466612197939,0.8004666121979386,3.252288841386856,0.0,0.0
1.0833333333333333,3.3273295329642045,3.839311547000791,0.8163657142331419,0.8163657142331422,3.331807553267975,0.0,0.0
1.1666666666666665,3.4064114895016386,3.8448322808736535,0.8303072377021228,0.830307237702123,3.411326265149094,0.0,0.0
1.25,3.486874449872282,3.8514632380280744,0.844934173183506,0.844934173183506,3.4908449770302137,0.0,0.0
1.3333333333333333,3.5627759779253747,3.8532750679813565,0.8559323587468057,0.8559323587468056,3.570363688911333,0.0,0.0
1.4166666666666665,3.6483685738173315,3.8645326671503013,0.8649941564233241,0.8649941564233243,3.649882400792452,0.0,0.0
1.5,3.7254099993618803,3.8670055444540474,0.8722104841436491,0.872210484143649,3.7294011126735716,0.0,0.0
1.5833333333333333,3.8060053189075918,3.8728098998452,0.8853772105203421,0.8853772105203421,3.8089198245546907,0.0,0.0
1.6666666666666665,3.887853944850382,3.879655705059293,0.894454366124784,0.894454366124783,3.88843853643581,0.0,0.0
1.75,3.9685151122273012,3.885112211197302,0.9005313168112009,0.9005313168112011,3.9679572483169294,0.0,0.0
1.8333333333333333,4.04814731844487,3.8893474193496895,0.9085229349681679,0.9085229349681676,4.047475960198049,0.0,0.0
1.9166666666666665,4.123676574759847,3.8892963610259867,0.9173527099538191,0.9173527099538195,4.126994672079168,0.0,0.0
2.0,4.203567339930812,3.893432058940946,0.9238593197725403,0.9238593197725407,4.206513383960287,0.0,0.0
2.083333333333333,4.106743237890423,3.893531603970837,0.9277410285066601,0.9277410285066611,4.113186762002233,0.0,0.0
2.1666666666666665,4.016946109985802,3.9004992297470444,0.9343424913665724,0.9343424913665724,4.0198601400441785,0.0,0.01
2.25,3.9219529217719318,3.9021192433693357,0.9364738444439665,0.9364738444439663,3.9265335180861243,0.0,0.0
2.333333333333333,3.8321070409281464,3.908741990517269,0.9407589416716695,0.9407589416716701,3.8332068961280696,0.0,0.0
2.4166666666666665,3.742652492018652,3.9156181299674886,0.9505777465301535,0.950577746530153,3.7398802741700146,0.0,0.0
2.5,3.651977876257943,3.9211425719243915,0.9547054594324635,0.9547054594324635,3.6465536522119604,0.0,0.0
2.583333333333333,3.5576774674806355,3.922915591442402,0.9606648521599916,0.9606648521599912,3.553227030253906,0.01,0.0
2.6666666666666665,3.4708740602904924,3.932065692988407,0.9663757961961892,0.9663757961961892,3.4599004082958515,0.02,0.01
2.75,3.3802666264747914,3.9372972822986996,0.9721906493056157,0.9721906493056156,3.366573786337797,0.02,0.01
2.833333333333333,3.288709281146449,3.9414696470560138,0.9790845881666248,0.9790845881666248,3.273247164379743,0.03,0.0
2.9166666666666665,3.195670071248723,3.9440557590806375,0.9844779408529067,0.9844779408529056,3.179920542421688,0.08,0.0
3.0,3.1010945179137703,3.9450058295817185,0.9863438328389466,0.9863438328389467,3.086593920463634,0.1,0.0
3.083333333333333,3.169295078383963,3.9448131867713396,0.9914168379304046,0.9914168379304046,3.1570908949623875,0.09,0.0
3.1666666666666665,3.2401538984765907,3.9471878291540965,0.9937565313838267,0.9937565313838268,3.227587869461142,0.06,0.01
3.25,3.3128445147085093,3.9513073490844075,0.9945852804376263,0.9945852804376263,3.298084843959896,0.04,0.0
3.333333333333333,3.387337066109385,3.957145751229073,0.9956962398151813,0.9956962398151816,3.36858181845865,0.04,0.0
3.4166666666666665,3.455260504809458,3.956335672775748,0.9973035469366861,0.9973035469366867,3.4390787929574036,0.01,0.0
3.5,3.5286581661218723,3.9609239625994976,0.9958546019992782,0.9958546019992791,3.509575767456158,0.0,0.0
3.583333333333333,3.5971462989190064,3.9605302202201447,0.9978926690817594,0.9978926690817602,3.5800727419549117,0.02,0.0
3.6666666666666665,3.667039347825059,3.961472086103436,0.9966530338969749,0.9966530338969758,3.6505697164536657,0.0,0.0
3.75,3.733822986476913,3.9592382825870605,0.9999227732950637,0.9999227732950635,3.7210666909524197,0.0,0.0
3.833333333333333,3.80574890091444,3.9620834045197464,0.9981676730507613,0.9981676730507616,3.7915636654511737,0.0,0.0
3.9166666666666665,3.8753470574114735,3.9625401939496236,1.003359495871337,1.003359495871337,3.8620606399499278,0.0,0.0
4.0,3.948225751926593,3.9662195960640334,0.9979385105087961,0.9979385105087958,3.932557614448682,0.0,0.0
4.083333333333333,4.017075403788555,3.9658145590185656,0.9951084480835368,0.9951084480835368,4.003054588947435,0.0,0.0
4.166666666666666,4.0833036767020054,3.962735160760226,0.9960540338480605,0.99605403384806,4.073551563446189,0.0,0.01
4.25,4.152371212969743,3.962444348761217,0.9930487262390505,0.9930487262390512,4.144048537944944,0.0,0.0
4.333333333333333,4.222112867799239,3.9627791795478573,0.9965061328804515,0.9965061328804518,4.214545512443698,0.0,0.0
4.416666666666666,4.290571216543572,3.9617843308926974,1.0003566616965127,1.000356661696513,4.2850424869424515,0.0,0.0
4.5,4.360339352754499,3.9620549045621707,0.9989012849577842,0.9989012849577841,4.355539461441206,0.0,0.0
