model,h,Pnow,fwd_ref,ploss_mtm,ploss_mtm_emp,rstar_mtm,ploss_fwd,ploss_fwd_emp,rstar_fwd,Er_h,sd_r_h
Vasicek,1.0,0.6750069099320852,0.7009999746075514,0.00839743457192421,0.00889,0.057312936218948854,0.5046901681331242,0.50343,0.038208240695082614,0.038301714152804624,0.007950600976206501
Hull-White,1.0,0.6563174600434178,0.680141783842994,0.012040873105116957,0.01178,0.050488997044620294,0.5046901681331325,0.503755,0.032460378580495615,0.03255385203821779,0.007950600976206501
Vasicek,2.0,0.6750069099320852,0.7285933927619243,1.5457489135693803e-05,4e-05,0.07771422851248548,0.5070699373613994,0.50587,0.03880513950153608,0.03896993756471996,0.009298734950321937
Hull-White,2.0,0.6563174600434178,0.7059859194793161,3.473749858545523e-05,3e-05,0.07913612886450655,0.5070699373613982,0.506205,0.041980251056597764,0.04214504911978162,0.009298734950321937
Vasicek,5.0,0.6750069099320852,0.8198474475186243,1.5097633192033653e-26,0.0,0.14540010313863413,0.510393900357977,0.509165,0.039510475400028146,0.03977016200385308,0.009966253323094464
Hull-White,5.0,0.6563174600434178,0.7921192764276078,5.742186846056553e-25,0.0,0.15013673730491278,0.5103939003579752,0.50952,0.04769404007046267,0.04795372667428756,0.009966253323094464
