maturity,T_yr,sim_residual_bp,analytic_offset_bp,diff_bp
3M,0.25,-1.3340420428978317,-1.3333231316507685,-0.0007189112470631365
6M,0.5,-1.2564726506709978,-1.2549883327384814,-0.0014843179325163547
1Y,1.0,-1.1188156263870763,-1.116187114510344,-0.002628511876732409
2Y,2.0,-0.9020555261642776,-0.8965944107185219,-0.005461115445755782
5Y,5.0,-0.5219979035534644,-0.520785124453899,-0.0012127790995654086
10Y,10.0,-0.27514969145159274,-0.28176688533902217,0.006617193887429429
