hw_terminal,vasicek_terminal
0.04326807298744925,0.029168247260183154
0.043675347510813665,0.029575521783547533
0.05917007816374475,0.045070252436478664
0.060028046226950404,0.045928220499684286
0.04133671600676935,0.02723689027950325
0.036566677557167464,0.022466851829901355
0.04759623667366318,0.03349641094639708
0.05544625091159987,0.04134642518433375
0.06460657253561147,0.05050674680834537
0.056833230155971616,0.04273340442870548
0.043992129986654,0.029892304259387884
0.051194960808412994,0.037095135081146875
0.041270586990134625,0.027170761262868506
0.049020559094335954,0.034920733367069856
0.04165009558092977,0.02755026985366368
0.03144422678166617,0.017344401054400053
0.051855793382627816,0.03775596765536169
0.06007186408795146,0.04597203836068535
0.03528308656203363,0.02118326083476752
0.04356923025780491,0.029469404530538788
0.07011048223601446,0.056010656508748355
0.05958285899122254,0.04548303326395641
0.058915873866486834,0.04481604813922072
0.039602714196599394,0.02550288846933327
0.07269917695484807,0.05859935122758196
0.058853987625372646,0.04475416189810652
0.057445949486169115,0.04334612375890301
0.04156626535809256,0.027466439630826418
0.05613997355490038,0.04204014782763428
0.06789417887297802,0.0537943531457119
0.04993661158951429,0.035836785862248165
0.05833267972237928,0.04423285399511317
0.04798666161198948,0.03388683588472339
0.037517172187454255,0.02341734646018816
0.051037201693199453,0.03693737596593334
0.06089473732500005,0.04679491159773395
0.04769296765615916,0.03359314192889303
0.0574401809277763,0.04334035520051019
0.051839439976503705,0.037739614249237594
0.04657179157930922,0.03247196585204311
0.052493256939174573,0.03839343121190847
0.03655521059592054,0.02245538486865444
0.04612603522724497,0.03202620949997886
0.0562668704896064,0.04216704476234028
0.060803321067931744,0.04670349534066564
0.041888084175308586,0.02778825844804249
0.05596701764117852,0.041867191913912416
0.04609830462524386,0.03199847889797775
0.07455325871924945,0.060453432991983344
0.04443819593576268,0.03033837020849656
0.051828081460273095,0.03772825573300699
0.05324131676673532,0.03914149103946921
0.0638131718312678,0.04971334610400169
0.0590346006073635,0.044934774880097374
0.052915351848135325,0.03881552612086922
0.04313535603705754,0.02903553030979142
0.05161260655087175,0.03751278082360564
0.06443154647124029,0.050331720743974184
0.06402979624498832,0.049929970517722175
0.05602367257253923,0.04192384684527312
0.04352056740862964,0.02942074168136353
0.04756545069919959,0.03346562497193347
0.06349375505161459,0.04939392932434846
0.045703066136062155,0.031603240408796036
0.04487830232061331,0.030778476593347193
0.04501139479006453,0.030911569062798405
0.06042251613002189,0.04632269040275578
0.05389421215461559,0.03979438642734947
0.06446275734413127,0.05036293161686516
0.051786143091058806,0.03768631736379269
0.04370889044450765,0.02960906471724153
0.055000520108676246,0.04090069438141011
0.04900425639079619,0.03490443066353007
0.04942344284507153,0.035323617117805434
0.0365956268586046,0.022495801131338502
0.03641301703718633,0.022313191309920242
0.04839370841576864,0.03429388268850253
0.03566907146440026,0.02156924573713414
0.057073452346217156,0.042973626618951044
0.04738435469797533,0.0332845289707092
0.05892596125386336,0.04482613552659723
0.03652696972307577,0.022427143995809678
0.05395760644704314,0.03985778071977703
0.04885860329188414,0.03475877756461803
0.049948538347186794,0.035848712619920675
0.05411579599318965,0.04001597026592354
0.03845814891429038,0.024358323187024272
0.04417196983805835,0.03007214411079222
0.05540344040152689,0.041303614674260795
0.04971045547562657,0.035610629748360434
0.05772168017713731,0.043621854449871204
0.07606142681908186,0.061961601091815734
0.048263348359724643,0.03416352263245854
0.05794869669547645,0.043848870968210336
0.03700960270279404,0.022909776975527926
0.06825574584872195,0.05415592012145583
0.045603253397142496,0.03150342766987639
0.05298561231842716,0.03888578659116104
0.05935846019303442,0.0452586344657683
0.043008442692149824,0.028908616964883713
0.05225128759833971,0.03815146187107361
0.04192079747084256,0.027820971743576436
0.04984118586656614,0.03574136013930004
0.05159516114225422,0.03749533541498811
0.07450436847920555,0.060404542751939426
0.059298307017380106,0.045198481290114015
0.04487632629332285,0.03077650056605673
0.03553794952358331,0.0214381237963172
0.057311118128270284,0.043211292401004166
0.04541586333979147,0.031316037612525355
0.051071006740406606,0.036971181013140494
0.05312372862071017,0.03902390289344406
0.060216625298570754,0.0461167995713046
0.05911214395730153,0.0450123182300354
0.07916666419295602,0.0650668384656899
0.06566161743942582,0.05156179171215971
0.05067781155659895,0.03657798582933284
0.03268035743426219,0.018580531706996077
0.048439471842838755,0.03433964611557264
0.04019716175708599,0.026097336029819878
0.045321942723433456,0.031222116996167344
0.0650060429810177,0.05090621725375158
0.0594119657712711,0.04531214004400499
0.048433464359855134,0.03433363863258902
0.044814197198556796,0.030714371471290667
0.05809486736627281,0.0439950416390067
0.05323434138913553,0.03913451566186943
0.039721621350843665,0.02562179562357755
0.03783709730220267,0.023737271574936537
0.04562189328190382,0.03152206755463772
0.0733046738204931,0.059204848093227
0.05135754133784588,0.03725771561057976
0.05756004504012705,0.04346021931286094
0.047950843944887266,0.033851018217621154
0.044402131837130994,0.03030230610986488
0.051362722455931105,0.03726289672866499
0.05544111210543345,0.041341286378167336
0.0626973529805712,0.0485975272533051
0.04472386925824988,0.03062404353098377
0.05183373187279541,0.037733906145529315
0.058541173246196544,0.04444134751893043
0.05614186050555611,0.04204203477828995
0.06858038349243897,0.05448055776517287
0.05776438290929098,0.043664557182024846
0.05113186099509871,0.03703203526783261
0.06028085427126452,0.0461810285439984
0.06634184940472061,0.052242023677454515
0.0553239235628052,0.04122409783553909
0.049361359691615835,0.035261533964349744
0.05151440957585636,0.03741458384859026
0.08673513718873663,0.07263531146147051
0.0355565599396421,0.02145673421237599
0.04494148215417778,0.030841656426911668
0.044545671274595064,0.030445845547328956
0.05674394770434177,0.042644121977075636
0.06380095744131176,0.04970113171404563
0.06300639418757288,0.048906568460306776
0.05962497250431188,0.04552514677704577
0.04769909350234331,0.0335992677750772
