steps_per_year,dt,max_abs_res_z_bp
12,0.08333333333333333,0.04259533538338023
24,0.041666666666666664,0.014198141214671889
48,0.020833333333333332,0.008236191078800359
96,0.010416666666666666,0.005023951659480219
192,0.005208333333333333,0.005938983787603935
