h,level,vas_VaR_pct,hw_VaR_pct,VaR_gap_bp,vas_ES_pct,hw_ES_pct,ES_gap_bp,metric_kind,ploss_mtm_vas,ploss_mtm_hw,ploss_mtm_gap_pp,ploss_fwd_vas,ploss_fwd_hw,ploss_fwd_gap_pp
1.0,0.99,-0.07359899925162822,0.10097546750438824,17.457446675601645,0.4652812618124814,0.6328838307820548,16.760256896957337,VaR_ES,,,,,,
1.0,0.95,-1.1724359461538132,-0.9648579547546092,20.757799139920397,-0.49902675984836625,-0.30835579716459643,19.067096268376982,VaR_ES,,,,,,
2.0,0.99,-3.3827925384101287,-3.0732760322942623,30.951650611586643,-2.7369762295312285,-2.436586236041311,30.038999348991744,VaR_ES,,,,,,
2.0,0.95,-4.701935865147876,-4.351165676802188,35.07701883456882,-3.89358221819686,-3.5641120274207556,32.94701907761044,VaR_ES,,,,,,
5.0,0.99,-16.302576284266713,-15.620354129915818,68.2222154350896,-15.574489531961506,-14.904623778746688,66.98657532148182,VaR_ES,,,,,,
5.0,0.95,-17.789804713909028,-17.05692155891476,73.28831549942691,-16.878451917400504,-16.17213922152841,70.63126958720929,VaR_ES,,,,,,
1.0,,,,,,,,P_loss,0.00839743457192421,0.012040873105116957,0.36434385331927477,0.5046901681331242,0.5046901681331325,8.326672684688674e-13
2.0,,,,,,,,P_loss,1.5457489135693803e-05,3.473749858545523e-05,0.001928000944976143,0.5070699373613994,0.5070699373613982,-1.2212453270876722e-13
5.0,,,,,,,,P_loss,1.5097633192033653e-26,5.742186846056553e-25,5.591210514136217e-23,0.510393900357977,0.5103939003579752,-1.887379141862766e-13
