n_pairs,n_paths_total,res_z_bp,MC_SE_z_bp,se_band_lower_bp,se_band_upper_bp
2000,4000,0.004155485871723541,0.04444963518917549,-0.08296579909906042,0.0912767708425075
8000,16000,0.010852896488444674,0.02152482468617734,-0.03133575989646291,0.05304155287335226
32000,64000,-0.005375129955020874,0.011071686350215932,-0.027075635201444098,0.01632537529140235
128000,256000,-0.003930273783994687,0.00557175814011648,-0.014850919738622986,0.006990372170633613
512000,1024000,-0.0006972857738429816,0.0027835129952721947,-0.006152971244576483,0.00475839969689052
