model,mean,std,skew_sim,ex_kurt_sim,skew_ana,ex_kurt_ana,p01,p05,p50,p95,p99
DBM,0.037323437708567594,0.03181900820397799,-0.005298865484718991,0.005560792162575989,0.0,0.0,-0.03655291375483617,-0.015319405071166532,0.037373102533330205,0.08960714800493759,0.11185628782720423
Vasicek,0.04010395021931122,0.010031094172717978,-0.01734604209731064,-0.00625337833131745,0.0,0.0,0.01659024232237865,0.023585839780414827,0.040039188721515365,0.05640976573613089,0.06324235911814903
CIR,0.04016338977486306,0.016074138168857152,0.7960578315002043,1.0442949077117838,0.7999532268649793,0.9598509494189174,0.01218474577528411,0.017859738656556108,0.0378800681133452,0.06975376962011003,0.0866069476114692
