T_yr,mean_gap_bp,abs_gap_mean_bp,abs_gap_p95_bp,abs_gap_max_bp
1.0,-2.1665810904820253,139.59890809327862,349.0357187250884,691.6447667377918
2.0,-0.8269915503997857,162.11820717328177,413.9701651725813,899.3433902668302
5.0,-1.6912119483636023,174.60865777511577,446.172924394317,1066.7483262037051
10.0,0.3585510402646624,178.37366362912343,450.26284899947996,1085.3489702771192
