N,scheme,T_yr,P_closed,P_MC,se,rel_err,rel_err_pct,bp_residual,se_bp
500,exact,10.0,0.6764021370335171,0.6791174332478301,0.002578659742055692,0.004014322347089866,0.40143223470898665,27.152962143129898,25.786597420556923
500,EM,10.0,0.6764021370335171,0.6766104922922982,0.002413108789781707,0.0003080345956546277,0.030803459565462772,2.0835525878104555,24.131087897817068
1000,exact,10.0,0.6764021370335171,0.6766948656988636,0.0018447935714646754,0.0004327731231457643,0.04327731231457643,2.9272866534646447,18.447935714646754
1000,EM,10.0,0.6764021370335171,0.6787187350001718,0.0017809343147895441,0.0034248826841595695,0.3424882684159569,23.16597966654621,17.80934314789544
2500,exact,10.0,0.6764021370335171,0.6755609596672931,0.0011361694507179192,0.0012436054237101556,0.12436054237101556,-8.411773662240218,11.361694507179191
2500,EM,10.0,0.6764021370335171,0.6763522554171689,0.0011254328576379353,7.374550377234e-05,0.007374550377234,-0.4988161634822408,11.254328576379352
5000,exact,10.0,0.6764021370335171,0.6755788609014645,0.000790589558108186,0.0012171400517202845,0.12171400517202846,-8.23276132052686,7.90589558108186
5000,EM,10.0,0.6764021370335171,0.6765202184129973,0.0007985306852185505,0.00017457274750486918,0.017457274750486917,1.180813794801061,7.985306852185505
10000,exact,10.0,0.6764021370335171,0.6762004006411104,0.0005562703991376047,0.0002982491943202268,0.02982491943202268,-2.0173639240672614,5.562703991376047
10000,EM,10.0,0.6764021370335171,0.6763384679921466,0.0005595492735583999,9.412897725278347e-05,0.009412897725278348,-0.6366904137056206,5.595492735583999
25000,exact,10.0,0.6764021370335171,0.6765487104032828,0.00035046703016778855,0.00021669560419851645,0.021669560419851644,1.4657336976564572,3.5046703016778853
25000,EM,10.0,0.6764021370335171,0.6759054135592725,0.0003533059116402154,0.0007343611840482137,0.07343611840482138,-4.967234742446758,3.533059116402154
