t,mean_em,mean_exact,mean_analytic,var_em,var_exact,var_analytic,mean_err_em_bp,mean_err_exact_bp
0.0,0.037199999999999095,0.037199999999999095,0.0372,8.137867801816254e-31,8.137867801816254e-31,0.0,-9.020562075079397e-12,-9.020562075079397e-12
0.08333333333333333,0.0372710115538238,0.037308219599891564,0.03731426952009441,2.0092212412771197e-05,1.8685036542096854e-05,1.906567153241665e-05,-0.4325796627061007,-0.060499202028455046
0.16666666666666666,0.03747171886696006,0.03734692911123222,0.037423875639037894,3.811100515671889e-05,3.747295894357573e-05,3.666419162776745e-05,0.47843227922166054,-0.7694652780567551
0.25,0.037636519362320486,0.037427114847421214,0.03752900867276313,5.4564253579406105e-05,5.291746124722227e-05,5.2910530610367574e-05,1.0751068955735383,-1.0189382534191855
0.3333333333333333,0.03770449333872798,0.03751205303630826,0.037629851170306275,7.031986898318432e-05,6.879391332096518e-05,6.791056164399498e-05,0.746421684217069,-1.1779813399801635
0.41666666666666663,0.03770897476553338,0.03763502426605633,0.03772657823077822,8.434172875961152e-05,8.129830919490273e-05,8.176178420903155e-05,-0.17603465244840633,-0.9155396472188687
0.5,0.03777662119298024,0.03778510577803859,0.03781935780740006,9.625738862508087e-05,9.53389890334838e-05,9.455398989238748e-05,-0.4273661441982213,-0.34252029361470093
0.5833333333333333,0.037884067346567636,0.037867197610491836,0.037908350999130785,0.00010749740532182914,0.00010733850292071917,0.00010636987509614053,-0.24283652563149294,-0.4115338863894952
0.6666666666666666,0.037897558040221664,0.037974755000432174,0.037993712330393385,0.00011749489225291664,0.00011933110295359893,0.00011728560490281994,-0.9615429017172106,-0.18957329961211133
0.75,0.03797719502206182,0.038016379778764126,0.03807559001938528,0.00012880864187625766,0.00012882393665829335,0.00012737133199666978,-0.9839499732345464,-0.5921024062115199
0.8333333333333333,0.0379505098400117,0.038186786806804845,0.038154126235438755,0.0001379625300299038,0.00013849867527966227,0.00013669167422869776,-2.0361639542705587,0.32660571366090185
0.9166666666666666,0.03801559429602748,0.03827581239708021,0.0382294573458785,0.00014795345534752215,0.00014868183073968148,0.0001453061541266832,-2.138630498510208,0.46355051201707465
