r_k,mu_exact,mu_em,mu_err_bp,leading_mu_term_bp,var_exact,var_em,var_err_rel,leading_var_term_abs
0.0372,0.03731426952009441,0.037316666666666665,-0.023971465722555374,-0.024305555555555587,1.906567153241665e-05,1.984e-05,-0.03902865259996721,-8.266666666666667e-07
0.04,0.04,0.04,0.0,0.0,2.046862985489322e-05,2.1333333333333335e-05,-0.04053297555188045,-8.88888888888889e-07
0.06,0.059183789142182766,0.059166666666666666,0.17122475516100077,0.17361111111111108,3.0489760729725824e-05,3.2e-05,-0.047194977196067946,-1.3333333333333334e-06
