t,mean_gap_bp,p05_bp,p95_bp,abs_mean_gap_bp
0.0,0.0,0.0,0.0,0.0
0.08333333333333333,-0.3720804606773118,-103.72367244230023,100.43581029898844,49.388719858069294
0.16666666666666666,1.247897557279746,-141.55914983616807,142.67539824211246,69.3542142060246
0.25,2.0940451489910314,-170.27858454085947,170.31693606038593,82.81188621849005
0.3333333333333333,1.9244030241962886,-192.0058381845094,195.2509531202602,93.23355400422024
0.41666666666666663,0.7395049947700941,-209.81094838608726,210.4632268931525,101.87466628501208
0.5,-0.08484585058084909,-223.08202028214475,222.40195106579048,109.24948686166812
0.5833333333333333,0.16869736075855965,-239.79740032126162,238.7260922517595,115.16107541792866
0.6666666666666666,-0.7719696021062132,-251.69980010125641,250.26785641294455,121.29214338213885
0.75,-0.3918475670242471,-258.183392545533,260.82352995570307,126.09521159394853
0.8333333333333333,-2.362769667929907,-275.4459167593359,265.915626162728,131.08917923516745
0.9166666666666666,-2.6021810105248306,-287.8291729770311,278.00497158529237,135.86178902810872
1.0,-2.166581090482023,-294.45451637325226,283.34515926434807,139.59890809327888
1.0833333333333333,-1.8981855965357826,-298.21656630640894,290.670413822852,142.0711552861811
1.1666666666666665,-1.5058120775598696,-302.52207003193035,301.53939274080574,145.60882993547995
1.25,-2.0282917571527834,-313.5311193834605,309.960325734053,148.68779109798172
1.3333333333333333,-1.7275805705827048,-314.61959285793364,308.27377298091994,150.4143863620557
1.4166666666666665,-1.609875886061237,-317.2096875125134,317.82173735069273,151.63953916699484
1.5,-0.1740272995521951,-315.621866049514,320.088497790881,153.7002398642138
1.5833333333333333,-0.20428935894517758,-319.92013980270144,321.54970551435923,154.73127563440457
1.6666666666666665,0.0731897256921202,-320.1561533247818,324.0585351059844,156.40088142162068
1.75,0.006802943801981679,-328.39995233612945,328.45873135539887,158.47875961520182
1.8333333333333333,0.2783364781036871,-333.791010511223,332.5811500260109,159.17094839247844
1.9166666666666665,-0.643542470613716,-335.7035334277263,335.19221090757696,161.17474652682748
2.0,-0.8269915503997861,-342.70896564206527,333.9298218775501,162.1182071732825
2.083333333333333,-1.0551910431747253,-343.78531745147484,340.87680600424255,163.74984418971886
2.1666666666666665,-1.649532170228026,-345.6576004667914,339.65862540831495,165.04407686663382
2.25,-1.9424790751335066,-345.8671034052607,344.02957218223713,165.51566105510318
2.333333333333333,-0.9956899007173434,-355.65371525532817,342.0946035311901,166.20626110127952
2.4166666666666665,-1.0821562138188328,-357.92270380649296,351.16974218758304,166.60736808168159
2.5,-0.7823569289622305,-352.94459390276126,345.3054329974367,167.12998575465465
2.583333333333333,-1.1562212483527627,-353.92418251818003,343.2309927636749,168.20848165041878
2.6666666666666665,-2.1521932852556627,-354.6697260439421,343.2152820967096,168.55262300674053
2.75,-2.576269393035659,-357.83844477607886,345.6945133998197,169.051884402894
2.833333333333333,-1.395070366576222,-351.3603061790303,353.7532375823869,169.47996749001854
2.9166666666666665,-2.063970566651962,-360.16042092183835,350.5057043029612,169.89515533825218
3.0,-2.8757318337436732,-364.01047314154266,355.2632859779683,170.50630840396073
3.083333333333333,-3.584784590841813,-363.9269400500048,347.64294278790834,170.47618829514613
3.1666666666666665,-3.738326409409104,-365.9281197263446,353.41757534064453,171.11072017762828
3.25,-3.2304393793569575,-366.15871908244725,354.72802761212523,172.0651777045712
3.333333333333333,-2.359888378359192,-364.6791339945087,362.84814432136255,172.0635388382643
3.4166666666666665,-2.2414844372934053,-364.6614959634145,358.628833086428,172.5103069357018
3.5,-3.5675787006902664,-367.8064725231428,359.9606663874347,173.53064555016306
3.583333333333333,-3.699010006299573,-372.4770088326144,366.15037059991107,174.0223629818604
3.6666666666666665,-4.4125105894577885,-375.6413482800791,365.1182359407258,173.04081198308248
3.75,-4.790385928349582,-371.43549706527716,357.91593682576445,174.19286155258442
3.833333333333333,-2.8481678108178934,-371.55709822587846,365.4045766437279,174.35347622340026
3.9166666666666665,-2.7690867556478556,-368.70215642734706,360.6679201004416,174.46639662739676
4.0,-0.7448466264710948,-367.647221366606,365.81081714069126,174.5697288731437
4.083333333333333,-0.3584288090176786,-365.72390998231305,369.27628427921695,174.62579408231187
4.166666666666666,-0.1864924899075205,-363.5740502354412,372.020054962931,175.10335425736588
4.25,-0.9776532224180882,-372.3582115844309,371.5509217821415,175.93503520892105
4.333333333333333,-0.2962185545556288,-370.742292982236,375.5081082544761,175.4887937384831
4.416666666666666,0.24466947651981086,-362.16725111401405,373.3384984768786,174.70553867199627
4.5,-0.03092346001111895,-364.5141524857972,372.7774989225415,174.72383903607872
4.583333333333333,0.023553800880033598,-367.330769779998,366.6180480659118,176.40008524824472
4.666666666666666,0.08205107717681218,-366.09110712680086,372.00509868040973,177.50064724097206
4.75,-0.7284912539143384,-369.58110050029467,369.8107894669685,176.30442844758645
4.833333333333333,-1.7461551225291818,-370.8304837776065,362.8828383391054,176.03313526533435
4.916666666666666,-1.7772267964386015,-368.40387309926894,364.31585729817687,174.3471837961695
5.0,-1.6912119483635926,-368.04203624761453,364.2614642675369,174.60865777511566
5.083333333333333,-1.3442792836932038,-367.2901501761576,366.35444180208134,174.04675323940302
5.166666666666666,-1.664081725470965,-368.5891848840838,358.20911495911383,172.66057813076287
