bond,horizon_yr,V0_em,V0_exact,E_V_em,E_V_exact,MC_SE_em,MC_SE_exact,ann_return_em_cc,ann_return_exact_cc,ann_return_diff_bp
A,1.0,99.99890602446634,99.99890602446634,103.85681772014534,103.83999459199295,0.009656267486095752,0.009601292933003588,0.0378539516828079,0.03769195470267213,1.6199698013576875
A,2.0,99.99890602446634,99.99890602446634,107.92802496363008,107.92853109350085,0.0007110056733424955,0.0007125877823169523,0.038152661631248114,0.03815500638222549,-0.02344750977378851
B,1.0,99.97658579323615,99.97658579323615,103.84614863494947,103.80620727784238,0.02277501403331763,0.022641090816600592,0.03797444728404966,0.037589752803468254,3.846944805814059
B,2.0,99.97658579323615,99.97658579323615,107.86316002500052,107.84926018688776,0.02602956243524983,0.026251065241279972,0.03796368522197258,0.03789924832900948,0.6443689296310035
B,5.0,99.97658579323615,99.97658579323615,121.333396619213,121.3114447904452,0.02380660641068356,0.023711537676207844,0.03872121681009917,0.038685029222182324,0.36187587916847175
B,10.0,99.97658579323615,99.97658579323615,148.00963381440317,147.99478303226275,0.024780990524902177,0.02436807505554005,0.03923413484812781,0.03922410068558989,0.10034162537919666
