T,E_sim,E_ana,Var_sim,Var_ana,min_sim,max_sim,neg_sim
1.0,0.038114559238183486,0.038301714152804624,0.00015714862570904696,0.00015326960338759449,0.0050017507292629566,0.0937693951403717,0.0
2.0,0.03900530549015073,0.03896993756471996,0.00021734673451703418,0.0002130197848710429,0.0043584691343243245,0.1198173920550675,0.0
5.0,0.039600522234202226,0.03977016200385308,0.00025892903545578585,0.00025157464723800084,0.0034861091235754635,0.12579128855656224,0.0
10.0,0.04019924487888953,0.039981133748402564,0.00026332395180378925,0.0002557485167310163,0.003861998025893107,0.12272206811665179,0.0
