target,level,VaR_em,VaR_exact,abs_diff_bp,rel_diff_pct
1m rate level loss (-Delta r),0.95,0.007340099780391284,0.0067912638280478955,5.488359523433883,8.08149950053034
1m rate level loss (-Delta r),0.99,0.010456790446814279,0.009415924493282156,10.408659535321233,11.054314998752751
1yr Bond B MtM loss,0.95,0.20525610369868919,0.21090521202170642,-0.5650431326691119,-0.005650431326691119
1yr Bond B MtM loss,0.99,2.2505127833042677,2.214208136812891,3.6313148927149035,0.036313148927149035
